aero_drag,aero_lift,aero_mom,damp_edge,damp_flap,damp_tors
-0.0013390181856444815,-0.0018493718779074516,4.242634529220854e-05,-2.895752399581473e-06,-0.00017863663523256818,-1.6176929401086942e-06
-0.0014197620058006549,-0.001965207216489094,4.8924108139579385e-05,-4.8670184923456656e-06,-0.00019861558629492328,-2.1370187109856956e-06
-0.0014999099551348954,-0.0020764515604532793,5.558723985579695e-05,-7.269686880536987e-06,-0.0002187705961447375,-2.7347527503018944e-06
-0.0015790702007880285,-0.0021831013880780348,6.239330948563163e-05,-1.005727578797395e-05,-0.00023897536385851235,-3.4113942029177958e-06
-0.001656787073888183,-0.0022845272948191445,6.931595001517697e-05,-1.3182508501339748e-05,-0.0002591103913785949,-4.166757460915334e-06
-0.0017323717278569669,-0.0023779878850924297,7.631620660303792e-05,-1.659781215405742e-05,-0.00027906323596414034,-4.999965754093628e-06
-0.0018059249305861,-0.002467003772149956,8.338314370836674e-05,-2.0258472831710012e-05,-0.000298737057714666,-5.9093436821668055e-06
-0.0018772492427361202,-0.0025517213895647046,9.04922527947628e-05,-2.4133546335758125e-05,-0.00031807853288566703,-6.892020848502729e-06
-0.0019460448093908999,-0.002632191543841038,9.761940005121285e-05,-2.8180651258904137e-05,-0.00033699803049440884,-7.944974864827693e-06
-0.0020120284670205064,-0.0027084656037351267,0.000104740467517301,-3.235775878265687e-05,-0.00035541146666939836,-9.064623117962622e-06
-0.0020749380534225326,-0.0027805970405098833,0.00011183130494228359,-3.662374684487182e-05,-0.000373241293148814,-1.0246788377247953e-05
-0.0021345336552220364,-0.002848641150778079,0.00011886785574433318,-4.0938713980891174e-05,-0.00039041653689464906,-1.1486724623958495e-05
-0.0021905985289935983,-0.002912654764446339,0.00012582628635273392,-4.526425864033674e-05,-0.00040687277596633884,-1.2779149831765737e-05
-0.0022429397740801114,-0.002972695975347067,0.00013268311164276,-4.9563726811407574e-05,-0.00042255207662204343,-1.4118283321340353e-05
-0.002291388769236157,-0.0030288238945727543,0.00013941531538878995,-5.380242744489849e-05,-0.00043740289606481576,-1.549788725118481e-05
-0.0023358013852325904,-0.0030810984256405684,0.000146000464929003,-5.794781556193442e-05,-0.0004513799546564272,-1.6911311836316725e-05
-0.0023760579869720566,-0.003129580060581179,0.0001524168193284004,-6.196964335264278e-05,-0.00046444408129721234,-1.8351543861190262e-05
-0.0024120632398091425,-0.003174329696041152,0.00015864343042154056,-6.584007995411606e-05,-0.00047656203552837314,-1.9811258031349143e-05
-0.002443745735616803,-0.0032154084684815885,0.0001646602362096746,-6.953380093222893e-05,-0.0004877063097493145,-2.1282870691575856e-05
-0.0024710574547082264,-0.0032528776075591358,0.0001704481461820519,-7.302804878198231e-05,-0.0004978549147584978,-2.275859542663487e-05
-0.0024939730800470615,-0.0032867983067758136,0.00017598911822365278,-7.630266600549747e-05,-0.0005069911516296475,-2.4230500054124028e-05
-0.002512489180270499,-0.0033172316104901323,0.00018126622686352888,-7.934010252633135e-05,-0.0005151033727286128,-2.5690564517241925e-05
-0.0025266232779451933,-0.00334423831638816,0.00018626372270480308,-8.21253993551447e-05,-0.0005221847344648495,-2.7130739188306836e-05
-0.0025364128191931877,-0.0033678788925209212,0.00019096708296264088,-8.464615053684375e-05,-0.0005282329441570286,-2.8543003101313532e-05
-0.0025419140603932995,-0.003388213408024517,0.00019536305311486073,-8.689244548617134e-05,-0.0005332500031805743,-2.9919421643558914e-05
-0.0025432008870990667,-0.0034053014766496194,0.00019943967974491667,-8.885679385974247e-05,-0.0005372419483549717,-3.125220325192606e-05
-0.002540363579648554,-0.00341920221224056,0.00020318633472590384,-9.053403512134795e-05,-0.0005402185933255107,-3.253375467862126e-05
-0.0025335075391856574,-0.0034299741953161215,0.00020659373095658663,-9.19212349370807e-05,-0.0005421932714978271,-3.375673441356782e-05
-0.002522751986991128,-0.003437675449921123,0.00020965392991825556,-9.301757049095712e-05,-0.0005431825818959318,-3.491410387595179e-05
